#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 540  33
# Band-Index:    1
   2.45680    -13.742996  0.606  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.46579    -13.729035  0.606  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.47478    -13.714528  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.48377    -13.699500  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.49275    -13.683950  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.50174    -13.667880  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.51073    -13.651291  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.51971    -13.634184  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.52870    -13.616560  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.53769    -13.598419  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.621
   2.54667    -13.579763  0.606  0.004  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.624
   2.55566    -13.560603  0.606  0.004  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.624
   2.56465    -13.540933  0.606  0.004  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.624
   2.57363    -13.520751  0.606  0.004  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.624
   2.58262    -13.500059  0.606  0.004  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.624
   2.59161    -13.478857  0.606  0.004  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.624
   2.60060    -13.457147  0.606  0.004  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.624
   2.60958    -13.434931  0.606  0.004  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.627
   2.61857    -13.412209  0.606  0.004  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.627
   2.62756    -13.388984  0.606  0.004  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.627
   2.63654    -13.365255  0.606  0.004  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.627
   2.64553    -13.341000  0.606  0.004  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.627
   2.65452    -13.316271  0.606  0.004  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.627
   2.66350    -13.291044  0.606  0.004  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.627
   2.67249    -13.265322  0.606  0.004  0.015  0.004  0.000  0.000  0.000  0.000  0.000  0.630
   2.68148    -13.239011  0.606  0.004  0.015  0.004  0.000  0.000  0.000  0.000  0.000  0.630
   2.69046    -13.212302  0.606  0.004  0.015  0.004  0.000  0.000  0.000  0.000  0.000  0.630
   2.69945    -13.185103  0.606  0.002  0.015  0.004  0.000  0.000  0.000  0.000  0.000  0.630
   2.70844    -13.157456  0.606  0.002  0.015  0.004  0.000  0.000  0.000  0.000  0.000  0.630
   2.71742    -13.129288  0.606  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.633
   2.72641    -13.100638  0.607  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.633
   2.73540    -13.071504  0.607  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.633
   2.74439    -13.041890  0.607  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.633
   2.75337    -13.011796  0.607  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.634
   2.75337    -13.011796  0.607  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.634
   2.76716    -13.011491  0.607  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.634
   2.78096    -13.010412  0.607  0.003  0.020  0.004  0.000  0.000  0.000  0.000  0.000  0.634
   2.79475    -13.008552  0.608  0.003  0.019  0.004  0.000  0.000  0.000  0.000  0.000  0.634
   2.80854    -13.005986  0.608  0.003  0.018  0.003  0.000  0.000  0.000  0.000  0.000  0.634
   2.82233    -13.002722  0.608  0.003  0.019  0.002  0.000  0.000  0.000  0.000  0.000  0.635
   2.83612    -12.998801  0.608  0.003  0.019  0.002  0.000  0.000  0.000  0.000  0.000  0.635
   2.84992    -12.994221  0.608  0.003  0.019  0.002  0.000  0.000  0.000  0.000  0.000  0.636
   2.86371    -12.989002  0.609  0.003  0.019  0.002  0.000  0.000  0.000  0.000  0.000  0.636
   2.87750    -12.983153  0.609  0.003  0.019  0.002  0.000  0.000  0.000  0.000  0.000  0.636
   2.89129    -12.976676  0.610  0.004  0.019  0.002  0.000  0.000  0.000  0.000  0.000  0.637
   2.90508    -12.969618  0.611  0.004  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.637
   2.91888    -12.961894  0.611  0.004  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.637
   2.93267    -12.953591  0.611  0.004  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.638
   2.94646    -12.944702  0.612  0.004  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.638
   2.96025    -12.935234  0.612  0.004  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.639
   2.97404    -12.925220  0.613  0.005  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.640
   2.98784    -12.914668  0.614  0.005  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.640
   3.00163    -12.903586  0.615  0.005  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.641
   3.01542    -12.892024  0.615  0.006  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.642
   3.02921    -12.879994  0.615  0.006  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.643
   3.04300    -12.867515  0.617  0.006  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.644
   3.05680    -12.854631  0.618  0.006  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.644
