#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  80  48
# Band-Index    1
   3.30112    -24.280967  0.000  0.000  0.000  0.000  0.004  0.306  0.361  0.311  0.003  0.984
   3.34537    -24.281394  0.000  0.000  0.000  0.000  0.002  0.310  0.361  0.309  0.002  0.984
   3.38962    -24.281805  0.000  0.000  0.000  0.000  0.001  0.308  0.362  0.311  0.001  0.983
   3.43387    -24.282597  0.000  0.000  0.000  0.000  0.000  0.310  0.362  0.310  0.000  0.984
 
# Band-Index    4
   3.43387    -24.282597  0.000  0.000  0.000  0.000  0.000  0.310  0.362  0.310  0.000  0.984
   3.38962    -24.281805  0.000  0.000  0.000  0.000  0.001  0.308  0.362  0.311  0.001  0.983
   3.34537    -24.281394  0.000  0.000  0.000  0.000  0.002  0.310  0.361  0.309  0.002  0.984
   3.30112    -24.280967  0.000  0.000  0.000  0.000  0.004  0.306  0.361  0.311  0.003  0.984
   3.25686    -24.280451  0.000  0.000  0.000  0.000  0.007  0.299  0.358  0.315  0.006  0.984
   3.21261    -24.279598  0.000  0.000  0.000  0.000  0.012  0.292  0.355  0.316  0.010  0.984
   3.16836    -24.278752  0.000  0.000  0.000  0.000  0.019  0.283  0.349  0.317  0.016  0.984
   3.12411    -24.277620  0.000  0.000  0.000  0.000  0.027  0.272  0.343  0.318  0.024  0.984
   3.07986    -24.276153  0.000  0.000  0.000  0.000  0.038  0.260  0.334  0.318  0.033  0.984
   3.03561    -24.274635  0.000  0.000  0.000  0.000  0.049  0.249  0.325  0.316  0.044  0.984
   2.99135    -24.272801  0.000  0.000  0.000  0.000  0.067  0.232  0.309  0.314  0.061  0.984
   2.94710    -24.270863  0.000  0.000  0.000  0.000  0.087  0.215  0.292  0.309  0.080  0.984
   2.90285    -24.268629  0.000  0.000  0.000  0.000  0.108  0.199  0.274  0.303  0.102  0.984
   2.85860    -24.266856  0.000  0.000  0.000  0.000  0.127  0.187  0.258  0.295  0.120  0.984
   2.81435    -24.264813  0.000  0.000  0.000  0.000  0.147  0.172  0.239  0.286  0.141  0.984
   2.77010    -24.262983  0.000  0.000  0.000  0.000  0.168  0.161  0.221  0.274  0.161  0.984
   2.72585    -24.261400  0.000  0.000  0.000  0.000  0.188  0.149  0.203  0.264  0.181  0.984
   2.68159    -24.259862  0.000  0.000  0.000  0.000  0.201  0.142  0.191  0.256  0.195  0.985
   2.63734    -24.259031  0.000  0.000  0.000  0.000  0.212  0.138  0.181  0.247  0.205  0.985
   2.59309    -24.258804  0.000  0.000  0.000  0.000  0.214  0.138  0.178  0.246  0.208  0.984
   2.59309    -24.258804  0.000  0.000  0.000  0.000  0.214  0.138  0.178  0.246  0.208  0.984
   2.54884    -24.258420  0.000  0.000  0.000  0.000  0.215  0.141  0.178  0.242  0.209  0.984
   2.50459    -24.258270  0.000  0.000  0.000  0.000  0.216  0.150  0.175  0.231  0.212  0.984
