#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60  60
# Band-Index:    1
   0.975   -50.684  0.000  0.173  0.000  0.822  0.000  0.000  0.000  0.000  0.000  0.996
   0.948   -50.684  0.000  0.220  0.000  0.770  0.000  0.000  0.000  0.000  0.000  0.990
   0.922   -50.684  0.000  0.226  0.000  0.743  0.000  0.000  0.000  0.000  0.000  0.970
   0.896   -50.684  0.000  0.199  0.000  0.644  0.000  0.000  0.000  0.000  0.000  0.842
   0.869   -50.683  0.000 -0.156  0.000 -0.479  0.000  0.000  0.000  0.000  0.000 -0.634
   0.869   -50.683  0.000 -0.156  0.000 -0.479  0.000  0.000  0.000  0.000  0.000 -0.634
   0.823   -50.684  0.000 -0.242  0.000 -0.754  0.000  0.000  0.000  0.000  0.000 -0.996
   0.778   -50.683  0.000 -0.244  0.000 -0.752  0.000  0.000  0.000  0.000  0.000 -0.996
   0.732   -50.683  0.000 -0.244  0.000 -0.752  0.000  0.000  0.000  0.000  0.000 -0.996
   0.686   -50.683  0.000 -0.244  0.000 -0.751  0.000  0.000  0.000  0.000  0.000 -0.996
   0.640   -50.684  0.000 -0.188 -0.001 -0.806  0.000  0.000  0.000  0.000  0.000 -0.996
   0.595   -50.684  0.000 -0.230  0.000 -0.766  0.000  0.000  0.000  0.000  0.000 -0.996
   0.549   -50.684  0.000  0.220  0.000  0.747  0.000  0.000  0.000  0.000  0.000  0.966
   0.503   -50.684  0.000  0.244  0.001  0.751  0.000  0.000  0.000  0.000  0.000  0.996
   0.457   -50.683  0.000  0.246  0.000  0.750  0.000  0.000  0.000  0.000  0.000  0.996
   0.412   -50.685  0.000  0.244  0.004  0.748  0.000  0.000  0.000  0.000  0.000  0.996
   0.366   -50.685  0.000 -0.732  0.000 -0.264  0.000  0.000  0.000  0.000  0.000 -0.996
   0.320   -50.685  0.000  0.237  0.001  0.758  0.000  0.000  0.000  0.000  0.000  0.996
   0.274   -50.686  0.000  0.247  0.002  0.747  0.000  0.000  0.000  0.000  0.000  0.996
